"Hs_symbol","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","Hs_Avg_TPM","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","Hs_Avg__TPM","FoldChange"
"ABCC9",0.152849,0.551804,0.203548,19,57,23,0.021795,1.51249,0.676152,0.605353,166,81,48,0,1.021795
"ABCD1",7.294446,8.044954,7.763412,256,196,196,11.7826246666667,6.614678,7.050127,8.893207,192,234,142,11.794229,0.999093002530021
"ABCD2",0.010725,0,0.024448,1,0,2,7.79499266666667,1.111828,0.947205,1.460715,91,82,86,4.90809766666667,1.48863359458118
"ABCD3",11.69952,13.13055,9.707609,544,496,467,0.182089333333333,14.822618,16.086553,17.331049,639,817,573,0.0358056666666667,1.141226941862
"ABCD4",70.916088,64.134004,67.343217,895,680,780,6.02768366666667,49.321733,40.153747,59.337327,485,502,452,7.31561533333333,0.845118897996163
"ABCE1",31.583438,49.79339,37.572001,980,1003,995,51.5015293333333,40.838605,40.205738,45.232008,918,1004,713,42.16418,1.21632171243224
"ABCF1",79.412855,49.138765,60.340286,982,733,819,16.7136716666667,46.260735,63.760304,59.860432,625,761,519,22.990304,0.738367953430964
"ABCF2",41.126604,23.175533,34.428163,544,392,458,2.61348133333333,26.268774,19.429182,42.181654,443,535,432,3.782833,0.755510663519578
"ABCF2.1",6.221399,6.723693,6.848703,199,174,194,1.90225933333333,5.23563,7.257672,6.208637,143,217,121,2.99627566666667,0.726241024246993
"ABCF3",48.291703,49.874702,42.97229,634,530,501,89.6533366666667,49.775637,52.727308,46.588001,554,722,457,125.126357,0.71875013932787
"ABCG1",4.150456,4.415328,3.848561,183,146,140,70.685971,7.097047,8.637267,8.443098,274,360,227,41.110303,1.70233804776945
"ABCG2",2.961168,3.343736,4.879457,130,124,137,19.632322,0.071606,0.158845,0.025076,4,11,1,15.829827,1.22593785426315
"ABCG4",3.253555,1.724564,3.36298,122,50,91,59.5710193333333,11.183928,15.998495,13.278866,433,622,404,4.41094433333333,11.1941678941686
"ABCG5",0,0.053623,0,0,2,0,13.9772976666667,0.093551,0.161392,0.087861,3,7,2,106.982320666667,0.138701387173373
"ABCG8",0.166037,0.120609,0.140823,13,5,8,30.739424,0.279919,0.336852,0.476524,19,25,16,28.449329,1.07776391102154
"ABHD1",0.539133,1.449996,2.556852,16,11,17,46.7447953333333,1.219066,0.595476,1.404846,17,18,14,36.4106556666667,1.27623519242071
"ABHD10",17.896254,16.509149,18.709231,474,316,439,11.2268,20.734833,22.479951,21.319982,502,570,353,52.0153973333333,0.230627338754517
"ABHD11",8.315591,5.793527,10.881287,88,44,86,0,5.79209,6.6316,4.983045,56,74,48,1.01128866666667,0.497193673177363
"ABHD12",34.456652,32.027544,41.779576,424,313,435,0.0118706666666667,62.698382,74.955257,56.465736,591,762,413,0.094133,0.924815051430371
"ABHD12B",3.893477,1.544872,5.021108,34,27,39,8.678612,3.562703,1.658765,4.615794,22,21,30,5.537655,1.4804409226244
"ABHD13",3.072772,3.602061,3.056116,238,226,207,17.24049,2.86622,3.359063,3.388676,195,241,166,18.541765,0.933410569618456
"ABHD14A",19.98651,11.809536,18.625674,220,94,202,5.444609,25.012009,25.594496,21.460029,268,287,164,6.37133133333333,0.874280195608265
"ABHD14A.ACY1",5.286409,7.547299,9.72672,36,39,52,0.519447333333333,3.110936,4.517742,5.004126,22,30,23,0.536710666666667,0.988766048347423
"ABHD14B",6.270991,5.484107,6.977415,142,105,131,19.3044256666667,1.988993,2.13046,2.242736,33,40,33,43.3670903333333,0.457646095655991
"ABHD15",2.267084,2.653537,2.449372,118,109,110,121.178592,0.139043,0.156659,0.265244,6,8,8,171.852216666667,0.706838444748515
"ABHD16A",43.283793,44.460669,44.105033,632,478,592,14.1200143333333,34.317671,41.166479,61.739668,552,678,517,1.33119033333333,6.48596303662321
"ABHD16B",0,0,0,0,0,0,15.0845016666667,0,0,0,0,0,0,13.7652813333333,1.08934610208578
"ABHD17A",22.251861,16.580488,18.393927,855,595,608,20.7973786666667,13.189788,17.685175,18.251272,437,578,391,27.7386756666667,0.758468445779808
"ABHD17B",6.982168,5.876005,6.383279,292,190,217,32.975061,9.608137,10.13461,9.429544,351,345,244,83.284592,0.403099311437611
"ABHD17C",5.189827,4.249834,4.998582,101,79,94,7.683484,26.356909,23.923575,30.757178,465,485,360,9.65143666666667,0.815240635770261
"ABHD18",3.285167,2.22549,2.818459,157,105,137,0.378546333333333,3.898036,4.946809,4.114577,195,202,135,0.774971333333333,0.77665836481115
"ABHD2",43.040132,37.278752,34.676228,4800,3122,3837,25.8453793333333,24.811763,18.501694,16.975591,1534,1881,1288,18.620664,1.36821971638337
"ABHD3",3.984849,5.25904,2.915345,43,53,50,188.800944,2.112366,4.383957,4.812756,34,41,40,113.561289333333,1.65676333693963
"ABHD4",36.086594,26.455903,21.679738,296,237,316,4.14297433333333,5.832204,5.914283,14.836758,103,107,75,4.12357966666667,1.00378537427511
"ABHD5",2.814933,3.503613,4.082079,117,93,117,67.8293946666667,6.272151,9.717485,9.994526,224,264,185,34.890834,1.91774297211
"ABHD6",11.831495,8.409419,12.306665,138,99,156,0.832805333333333,12.738211,13.156293,8.173231,201,211,124,2.239496,0.565768666895509
"ABHD8",3.366122,1.881682,2.264601,60,36,33,0.113022333333333,7.19407,9.390167,9.704944,145,236,124,0.103042,1.00904800844694
"ABI1",12.69711,14.372399,14.823763,447,426,457,37.131495,19.731057,19.365981,20.50402,618,612,424,74.8551316666667,0.502688403041245
"ABI2",23.445738,22.714472,18.676018,1466,1126,1250,19.2788783333333,50.424881,51.894418,63.248999,3251,3183,2502,23.8258956666667,0.816843774968468
"ABI3",0,0.122185,0,0,1,0,33.885931,0,0.209091,0.075429,0,3,1,19.957815,1.66457863093075
"ABI3BP",2.697237,9.393819,2.628398,50,93,34,14.584957,0.99652,1.116168,1.795284,15,18,16,15.1482843333333,0.965115344657976
"ABITRAM",13.474933,12.693075,15.766697,185,143,177,22.294948,12.878776,15.022405,19.706706,130,158,143,9.75406533333333,2.16615273182272
"ABL1",20.002516,27.75208,18.375548,1348,1318,1125,0.541266,23.387004,25.535463,27.529949,995,1264,955,3.58069533333333,0.336469878008332
"ABL2",7.647104,11.288064,8.405532,1295,1485,1218,0,4.876134,5.408775,4.808567,785,862,542,0,1
"ABLIM1",13.234586,13.893529,13.950169,1252,905,1223,3.43806866666667,100.860799,75.151885,120.837451,7750,6453,5627,2.363428,1.31950755796368
"ABLIM2",2.618199,1.169305,2.227903,73,27,55,19.619759,19.980956,30.901303,25.59889,462,672,364,50.8898673333333,0.397375442637799
"ABLIM3",39.693627,31.45544,35.010631,1694,1071,1302,0,48.422608,52.934019,47.138285,1626,2148,1222,6.19063333333333,0.139069808408161
"ABO",0.081458,0.061784,0.056364,8,5,5,418.292288333333,0.839964,0.413628,1.770949,23,39,31,151.788392,2.74426795677864
"ABR",198.031654,211.438013,200.361185,1298,1199,1252,521.419259666667,591.586845,672.731938,685.513728,3340,3625,3006,1389.66802333333,0.37566065437707
"ABRA",0,0,0,0,0,0,10.242749,0.028665,0.053548,0.080009,1,2,2,535.157017,0.0209691352412161
"ABRACL",16.160065,20.958007,19.636272,132,135,145,14.463645,19.223716,14.20645,19.051796,138,111,99,11.5527636666667,1.23189167028318
"ABRAXAS1",3.82892,6.035163,5.406464,107,132,131,1.09453433333333,4.102444,3.794132,3.584166,77,83,56,0.999892666666667,1.04732337302102
"ABRAXAS2",5.545332,5.945653,7.320012,243,210,286,24.0521246666667,9.187908,9.791007,10.77312,353,405,295,35.14397,0.693120447661579
"ABT1",4.559478,4.690372,4.720066,202,168,186,0.332005333333333,4.88843,4.285503,5.231131,188,179,143,2.10201733333333,0.429399706771464
"ABTB1",6.145615,3.499741,5.352266,109,78,105,35.8245523333333,2.982307,4.057105,10.245762,62,115,92,8.11133266666667,4.04162087814596
"ABTB2",1.812701,1.607969,1.602889,139,98,106,0.0702403333333333,1.344934,1.96267,3.69669,85,140,90,0,1.07024033333333
"ACAA1",38.003127,38.829187,39.570663,550,465,521,2.87314266666667,46.486176,54.061449,53.958237,591,740,475,11.3941106666667,0.312498635104436
"ACAA2",13.362606,16.013843,12.490575,285,274,234,37.1715246666667,7.463552,10.616386,8.612113,146,199,117,87.1742526666667,0.432910101443899
"ACACA",42.363631,48.905645,32.241697,1667,1457,1400,0.334099666666667,87.127535,78.297049,72.405289,3380,3012,2176,1.909915,0.458466885344303
"ACACB",3.811888,6.196471,2.56891,69,75,51,1.88246233333333,3.694984,3.933355,3.564281,62,63,54,1.682011,1.07473919135057
"ACAD10",21.73928,19.257871,23.277153,392,285,343,11.2976903333333,11.611479,11.630295,14.269463,185,171,157,11.8460196666667,0.957315234791664
"ACAD11",13.192374,11.007639,9.386726,340,270,275,16.9703503333333,6.956361,6.78533,9.702243,123,171,123,28.4638313333333,0.609912204900621
"ACAD8",26.483493,20.192299,24.101738,534,375,468,1.015644,28.56967,26.216904,35.090426,521,559,449,0.17684,1.71275959348764
"ACAD9",19.252462,17.316786,16.985834,406,304,324,0.0922513333333333,16.730664,15.138342,15.036653,348,375,288,0.081864,1.00960133005011
"ACADL",0.207989,0.400506,0.246715,5,7,5,19.901956,0.288112,0.704497,0.707281,9,17,9,18.6455233333333,1.06395516400089
"ACADM",27.650351,25.508799,28.982212,462,377,403,0,34.991444,30.116255,36.311604,538,526,442,0.361587666666667,0.734436734762825
"ACADS",4.599063,3.579749,4.281652,112,71,98,30.3830136666667,1.771714,2.673468,3.757556,38,59,46,28.0018226666667,1.08210487414423
"ACADSB",2.345294,3.480124,2.567987,193,175,184,1.14748833333333,5.696079,5.142362,5.947202,415,396,308,2.81618,0.562732453221109
"ACADVL",487.069067,525.545782,529.790065,2890,2306,2580,17.40622,236.028354,256.563668,245.533457,1257,1410,953,17.6677166666667,0.985992037947865
"ACAN",13.521626,21.358045,13.180758,1180,1435,924,7.561401,0.108891,0.370897,0.103268,8,10,6,3.98894966666667,1.71607283537103
"ACAP1",8.203837,7.799579,5.089685,31,27,34,0.385942333333333,9.140538,8.118628,5.692809,23,41,22,0.258482,1.1012810142166
"ACAP2",4.317336,5.926497,4.813944,442,447,434,44.5875936666667,19.442193,11.477702,6.945933,361,356,272,59.4039493333333,0.754712136703115
"ACAP3",268.243739,185.674788,241.306196,3432,1616,2456,0.0479163333333333,237.983872,241.790025,300.03488,2282,2631,2345,0.231756,0.850749932075292
"ACAT1",56.259875,44.471839,63.751794,369,255,375,3.553206,122.137156,118.34408,129.991315,655,741,527,6.29316433333333,0.624311449995665
"ACAT2",25.297509,32.783013,27.509826,501,530,488,22.0492936666667,150.038137,113.788996,97.188096,2596,2136,1199,33.8141496666667,0.662066828785296
"ACBD3",54.125804,44.820301,37.958539,793,793,708,87.7579663333333,55.57853,50.960754,31.733687,687,749,476,93.2477886666667,0.941751181529048
"ACBD3.AS1",0,1.337289,0,0,5,0,62.280542,0.246714,0.456368,0.347351,1,2,1,87.694707,0.713464694122052
"ACBD4",3.937219,4.63266,2.073499,64,68,45,1.06667933333333,2.513592,3.070246,3.546908,36,57,47,13.9484343333333,0.138253899187614
"ACBD5",7.912379,6.095147,7.392269,308,226,288,57.1031753333333,22.086031,24.008406,24.78825,786,939,654,58.196314,0.981533670041235
"ACBD6",24.856558,25.060157,20.197148,434,305,343,0.174427666666667,44.648742,40.179244,47.697377,561,617,466,0.328216333333333,0.884214142826633
"ACBD7",0.811197,0.918754,0.914356,39,38,35,11.1193056666667,1.043718,2.012931,2.647439,46,68,57,10.4382076666667,1.05954586766114
"ACCS",23.189882,13.116107,20.465664,320,206,258,6.32711866666667,2.852259,6.929111,6.720408,40,71,38,5.38913033333333,1.14681001707535
"ACCSL",0,0,0,0,0,0,0,0,0.041683,0,0,1,0,0.0218153333333333,0.978650414980398
"ACD",8.520872,12.288536,11.733328,141,109,166,13.9484126666667,10.823814,17.900748,15.750557,143,186,143,14.7655226666667,0.948171080827683
"ACE",1.303784,1.277742,1.252099,41,16,21,4.61045833333333,7.650195,4.932748,4.196313,104,116,46,7.34964133333333,0.671940040218893
"ACE2",0,0.275135,0.093605,0,1,2,0.032435,0.257103,0.077158,0.190801,1,1,1,0.266672333333333,0.815076616762504
"ACER1",0.050862,0,0,1,0,0,0,0.061841,0,0.249022,1,0,3,0,1
"ACER2",0.79589,1.105758,0.950331,33,37,35,42.3160396666667,1.702671,1.924675,1.809561,61,75,46,90.6698553333333,0.472522177646722
"ACER3",2.862275,3.818158,3.438456,324,261,332,0.936543333333333,5.618697,5.605735,6.031901,410,489,347,1.13353,0.90767101157862
"ACHE",23.639298,15.646921,24.253111,666,324,578,18.5912026666667,123.812487,148.175891,116.216143,2791,3847,1730,34.2847416666667,0.555231574365596
"ACIN1",177.532807,182.921232,142.933279,3282,2682,2593,5.776554,89.895784,89.267185,92.097629,1572,1683,1229,9.22705566666667,0.662610454159061
"ACKR1",7.550579,5.560224,10.119254,197,125,214,93.5780606666667,9.846748,12.019005,14.314649,231,292,219,243.496532666667,0.386827819745032
"ACKR2",0.359601,0.085355,0.268785,6,3,9,0.0201403333333333,0.432002,0.122803,0.473199,14,5,6,0.588990666666667,0.642005239384666
"ACKR3",0.58853,1.270426,0.550161,17,15,14,5.565056,0,0.074184,0.633304,0,2,7,10.1824796666667,0.587084099027649
"ACKR4",0,0,0,0,0,0,83.4959306666667,0.106321,0,0,3,0,0,80.0208846666667,1.04289074371746
"ACLY",146.457605,153.677986,123.036365,4402,3834,3894,0,254.093676,248.408509,244.338036,6921,7108,4396,0.0215826666666667,0.97887330377571
"ACMSD",0,0.090128,0.068505,0,2,1,111.293037,0.255707,0.275251,0.059046,1,2,1,3.448074,25.2453167370867
"ACO1",7.828545,10.438737,8.19943,589,574,554,8.036804,9.414829,8.829655,9.906688,628,626,488,5.19530633333333,1.45865329554056
"ACO2",44.21915,38.397711,34.421423,1102,814,929,1.38018433333333,76.722101,90.811985,92.660824,1805,2351,1468,6.22008466666667,0.329661554292023
"ACOD1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ACOT1",3.574162,4.075885,3.688916,68,59,57,0.555757666666667,2.580575,3.185492,1.979403,39,58,23,0,1.55575766666667
"ACOT11",0.37798,0.458171,0.465699,35,34,33,0.009225,0.582734,0.576701,0.609753,40,51,26,0.104451666666667,0.913779235850067
"ACOT12",0.838379,0.711122,0.64397,19,13,12,28.4359543333333,0.331608,0.188218,0.467097,5,2,2,24.8123303333333,1.14038345059146
"ACOT13",12.191412,9.46509,13.396844,229,175,231,0.128003666666667,4.473594,5.647834,5.032359,165,201,127,0,1.12800366666667
"ACOT2",21.539035,15.077116,15.11408,178,108,135,0.579736666666667,14.610747,12.124256,16.719956,110,123,100,2.16443566666667,0.499215921280119
"ACOT4",0.146906,0.447474,0.101508,5,12,3,8.40042833333333,0.210825,0.819407,0.499504,6,26,10,9.039828,0.936313683195901
"ACOT6",0,0.122286,0,0,1,0,60.099307,0.113721,0.104565,0.160646,1,1,1,3.375098,13.9652430642696
"ACOT7",38.203304,38.030315,39.780133,695,547,661,105.878071333333,141.034258,158.621084,147.569266,2164,2658,1722,98.3865763333333,1.07537733239622
"ACOT8",9.983366,11.016138,11.40912,177,144,156,4.974236,15.109551,19.026084,18.961389,206,295,187,15.260072,0.367417561250651
"ACOT9",23.22135,28.851472,24.154281,541,489,487,3.387781,19.733347,15.220957,15.831859,376,398,279,35.6773823333333,0.119631792697819
"ACOX1",33.537489,28.271905,20.230548,771,581,655,18.5512403333333,26.69153,36.454793,34.43575,665,715,462,26.745508,0.704663267774132
"ACOX2",5.459635,7.803665,5.815802,51,58,35,72.0220853333333,0,0.720589,0,0,2,0,57.9517596666667,1.2386752447463
"ACOX3",8.870189,7.235071,11.373044,158,135,150,15.2750176666667,9.956542,12.099373,8.284384,181,210,142,15.4454126666667,0.989638751945375
"ACOXL",0.239138,0.162594,0.206492,7,4,5,6.31179633333333,0.165362,0.317846,0.200234,4,5,4,0.798546666666667,4.06539150128622
"ACOXL.AS1",0.293391,0.058293,0.342878,10,2,13,0,0.133131,0.04982,0.073672,5,2,2,0,1
"ACP1",58.248272,76.17287,65.299677,903,859,858,32.6087256666667,61.586263,66.10944,74.714785,798,920,684,37.79657,0.866280850772804
"ACP2",169.629988,98.736759,157.367625,899,467,753,0.231051666666667,115.861262,97.504509,108.715051,595,540,395,0.343451333333333,0.916335140784159
