"Hs_symbol","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","Hs_Avg_TPM","Mm_genes","Brain_2_MB-S5","Brain_2_MB-S11","Brain_2_MB-S17","Brain_2_MB-S5_read","Brain_2_MB-S11_read","Brain_2_MB-S17_read","Mm_Avg_TPM","FoldChange"
"ABCA1",1.876267,0.885241,0.804978,396,171,159,25.6683846666667,"Abca1",6.845097,2.14816,1.501499,816,427,424,3.498252,5.92861063956992
"ABCA13",0.174113,0.034944,0.058673,5,3,5,0.328574333333333,"Abca13",0.007846,0.009002,0.008991,2,4,4,0.008613,1.31722903961513
"ABCA17P",0.02167,0.266152,1.014407,2,4,5,0.812543,"Abca17",0.222588,0.099809,0.028659,8,6,4,0.117018666666667,1.62266133421823
"ABCA2",24.315816,17.365586,16.698512,805,444,402,52.444161,"Abca2",103.016126,33.995107,47.446613,4424,2855,3399,61.4859486666667,0.855298865431325
"ABCA3",2.864033,2.329955,1.427765,295,201,155,1.15103666666667,"Abca3",15.899095,4.777714,6.130924,1470,804,955,8.935911,0.216491136712745
"ABCA4",0.012157,0.012809,0,1,1,0,31.344221,"Abca4",1.503687,0.819555,0.594934,84,61,75,0.972725333333333,16.3957041831808
"ABCA5",4.156998,3.19961,2.228167,168,152,100,13.4566326666667,"Abca5",8.437813,3.190949,3.230402,934,644,646,4.95305466666667,2.42843942751184
"ABCA6",0.307074,0.113031,0.186072,11,7,9,214.166965,"Abca6",0.744271,0.261836,0.29088,56,30,41,0.432329,150.221747238239
"ABCA7",11.353326,7.85688,8.990523,435,267,221,0.009045,"Abca7",2.326388,0.985227,1.206147,237,188,232,1.50592066666667,0.402664383363027
"ABCA8",3.234198,1.719767,1.436738,96,64,65,61.5321443333333,"Abca8b",2.621557,1.038747,0.94953,304,198,190,1.53661133333333,24.651842996838
"ABCA9",0.287344,0.110486,0.190728,11,7,5,23.8153686666667,"Abca9",2.00727,0.817394,0.714638,198,138,123,1.17976733333333,11.3844116696247
"ABCB1",0.03239,0.180298,0.191402,3,5,3,1.137784,"Abcb1a",99.75214,6.975101,6.917955,673,568,486,37.881732,0.0549817070906203
"ABCB10",4.005154,2.663769,2.895076,137,128,111,1.70077,"Abcb10",6.080809,6.701589,6.717685,367,738,755,6.50002766666667,0.360101338292841
"ABCB11",0.266721,0.007328,0.0069,3,1,1,5.94528533333333,"Abcb11",0.013403,0.0077,0.13836,1,1,1,0.0531543333333333,6.59474600588771
"ABCB4",11.373936,10.12465,10.942716,248,158,162,13.3101653333333,"Abcb4",1.083928,0.701036,1.304195,65,75,81,1.02971966666667,7.05031614382216
"ABCB5",0.238192,0,0.073851,1,0,5,20.783434,"Abcb5",0,0,0,0,0,0,0,21.783434
"ABCB6",8.326215,7.061364,8.704006,123,101,86,134.693941333333,"Abcb6",9.396261,8.069201,9.543446,170,375,348,9.00296933333333,13.5653661239523
"ABCB7",13.831658,11.114692,9.446497,350,248,280,0.630597333333333,"Abcb7",9.304969,6.351937,6.056985,796,927,836,7.23796366666667,0.197936941617166
"ABCB8",11.02178,6.985446,5.674411,471,342,268,0.0341556666666667,"Abcb8",21.123623,23.448565,21.308368,425,891,876,21.9601853333333,0.0450412595391942
"ABCB9",4.324097,2.790693,3.029996,187,127,124,0.289378,"Abcb9",13.886122,10.841195,11.737911,471,761,775,12.155076,0.0980137248922013
"ABCC1",4.111846,2.414281,2.166516,483,341,276,0.104014333333333,"Abcc1",10.519469,1.171945,2.39971,274,180,219,4.69704133333333,0.193787313227615
"ABCC10",14.897475,9.350053,15.513101,250,167,160,0,"Abcc10",1.597096,1.12677,1.004533,82,102,115,1.24279966666667,0.445871298655148
"ABCC12",0.174113,0,0.046512,1,0,1,13.957216,"Abcc12",0.053002,0.104746,0.147696,3,8,12,0.101814666666667,13.5750743319203
"ABCC2",0.206724,0.320286,0.182112,3,4,1,0.0342316666666667,"Abcc2",0,0.004608,0.018311,0,1,4,0.00763966666666667,1.02639038624588
"ABCC3",0.348225,0.325404,0.504307,2,3,3,0,"Abcc3",1.461523,0.214629,0.317509,29,21,26,0.664553666666667,0.60076164561431
"ABCC5",26.815209,20.139758,16.661965,1688,1220,1081,12.58667,"Abcc5",86.190976,31.297927,40.065383,1665,1327,1402,52.5180953333333,0.253870581816794
"ABCC6",2.370812,3.482122,1.641663,98,80,51,8.88939033333333,"Abcc6",0.373831,0.133197,0.189503,12,15,27,0.232177,8.02594946451146
"ABCC9",5.937915,4.245439,2.802442,581,434,370,0,"Abcc9",2.051365,0.582775,0.654602,234,116,131,1.09624733333333,0.477042944359937
"ABCD1",9.855316,6.357848,6.647314,690,437,443,14.570826,"Abcd1",2.686316,1.6366,1.846768,138,162,188,2.05656133333333,5.09422985568532
"ABCD2",0.210704,0.12733,0.165506,19,13,17,1.20856033333333,"Abcd2",17.561996,16.181786,14.615399,695,907,808,16.119727,0.129006749542988
"ABCD3",10.323186,7.852999,5.423063,539,489,336,0,"Abcd3",22.337243,19.371378,19.426874,1135,1664,1589,20.3784983333333,0.04677597015506
"ABCD4",36.841234,32.142947,25.91358,577,476,396,0.035787,"Abcd4",4.359746,3.381328,3.474536,149,205,205,3.73853666666667,0.2185879466305
"ABCE1",25.279482,10.850918,4.462396,450,444,265,18.7739536666667,"Abce1",23.623258,18.664945,16.190277,1327,1826,1551,19.4928266666667,0.964920749504542
"ABCF1",30.647549,12.146954,19.277681,895,681,599,8.455803,"Abcf1",42.586641,27.88631,16.795441,940,1220,942,29.089464,0.314256279207898
"ABCF2",6.164294,6.22041,10.611419,480,500,342,1.52677933333333,"Abcf2",31.257595,33.14353,31.918211,1170,2228,2179,32.1064453333333,0.0763228823841513
"ABCF3",42.225453,35.384299,25.704264,787,609,496,90.6919753333333,"Abcf3",187.359797,215.552443,216.367976,715,1524,1442,206.426738666667,0.442045109144206
"ABCG1",4.885127,3.443918,3.219942,306,199,192,16.9057156666667,"Abcg1",17.44561,15.173097,13.007637,975,1194,1038,15.2087813333333,1.10469228367241
"ABCG2",0.576877,0.198017,0.199392,10,14,4,7.015284,"Abcg2",17.007204,19.60743,11.336253,310,572,463,15.983629,0.471941774046053
"ABCG5",0,0.01593,0,0,1,0,10.5729776666667,"Abcg5",0,0.081567,0.025253,0,3,1,0.0356066666666667,11.1750706510194
"ABCG8",0.035989,0.06211,0.039485,4,5,3,7.553478,"Abcg8",0,0,0.031248,0,0,2,0.010416,8.46530339978781
"ABHD1",0.548215,0.837679,0.573511,17,19,15,12.967623,"Abhd1",0.646129,1.838952,1.144674,11,59,36,1.20991833333333,6.32042496291341
"ABHD10",4.682414,3.63352,2.996599,164,141,99,6.34839,"Abhd10",7.407598,8.355175,8.138571,216,388,372,7.96711466666667,0.819482104685922
"ABHD11",16.413349,19.071503,13.597818,302,309,281,0,"Abhd11",14.510702,19.169353,18.676671,173,436,448,17.452242,0.054193956485071
"ABHD12",31.484105,29.04836,22.06709,638,567,468,0.107916333333333,"Abhd12",251.752332,303.428597,281.089441,2928,6286,6265,278.75679,0.00396028397857058
"ABHD13",1.172633,1.326137,0.716184,82,109,59,8.10472266666667,"Abhd13",8.435331,5.711411,5.393523,646,763,711,6.51342166666667,1.2117944487343
"ABHD14A",8.546513,7.684425,5.406513,139,127,86,2.20865933333333,"Abhd14a",12.401468,16.017875,14.871911,157,419,397,14.430418,0.207943772704883
"ABHD14B",8.124944,8.387924,5.480449,292,279,180,11.920216,"Abhd14b",9.543977,7.060984,8.598408,140,239,266,8.401123,1.37432687562965
"ABHD15",1.644095,1.578787,1.43262,123,111,101,57.0980066666667,"Abhd15",0.356555,0.447731,0.224641,13,31,16,0.342975666666667,43.2606547599398
"ABHD16A",19.452254,20.109003,15.952975,486,433,358,0.04322,"Abhd16a",41.183855,61.475216,60.134246,564,1496,1639,54.264439,0.0188768766837568
"ABHD16B",0,0,0,0,0,0,8.18705733333333,"Abhd16b",0.040812,0,0,1,0,0,0.013604,9.06375402359633
"ABHD17A",21.413135,20.573032,17.57639,715,597,525,4.32983033333333,"Abhd17a",58.483824,79.896002,84.757266,762,2077,2222,74.3790306666667,0.0707070691437033
"ABHD17B",2.046774,1.634046,1.489593,103,84,78,3.44931766666667,"Abhd17b",13.462328,12.425725,11.081772,411,633,517,12.323275,0.33395074909635
"ABHD17C",1.848624,2.204347,1.707873,50,65,54,1.76255833333333,"Abhd17c",13.103004,9.007656,13.856976,380,472,433,11.989212,0.212680979672465
"ABHD18",8.712244,6.827573,4.421348,367,326,288,0.113742,"Abhd18",3.492566,4.65432,2.618732,161,244,203,3.58853933333333,0.242722557025772
"ABHD2",3.332886,2.82704,2.375777,614,430,406,38.1171863333333,"Abhd2",19.626201,7.092046,7.529354,2086,1334,1439,11.415867,3.15058032864989
"ABHD3",2.331696,3.741765,1.156728,72,76,34,32.086452,"Abhd3",38.388158,39.33974,44.624386,668,1261,1382,40.7840946666667,0.791843218429111
"ABHD4",15.0237,23.747182,16.357654,409,343,303,4.40507566666667,"Abhd4",30.102026,40.118908,40.409999,828,1966,2027,36.8769776666667,0.142700817214974
"ABHD5",7.210165,4.691474,4.783658,177,215,128,10.395547,"Abhd5",15.396005,16.375689,21.571022,243,450,555,17.7809053333333,0.606762389658319
"ABHD6",2.357982,2.891814,1.502824,64,48,45,0.079272,"Abhd6",20.131196,19.454461,16.882188,613,1035,897,18.822615,0.0544464996167256
"ABHD8",4.748047,3.701303,3.322699,184,148,137,0.0717826666666667,"Abhd8",73.165664,99.876587,96.017002,1879,5091,5065,89.6864176666667,0.011818557775721
"ABI1",10.258949,6.855637,7.216852,359,321,284,27.1435236666667,"Abi1",83.535127,72.202167,67.21898,1473,2226,1830,74.318758,0.373658892073959
"ABI2",21.727203,10.892244,9.493522,933,760,670,22.248018,"Abi2",73.550072,33.93638,32.706777,2945,2764,2269,46.7310763333333,0.487062513270093
"ABI3",0.029558,0.160231,0.222847,1,5,7,0.849044666666667,"Abi3",2.741241,3.098633,2.942035,27,77,59,2.927303,0.470817929420436
"ABITRAM",13.449005,10.517363,5.073883,184,198,136,15.4211246666667,"Abitram",7.343123,3.117896,3.047484,317,313,275,4.50283433333333,2.98412121317118
"ABL1",7.760499,5.097737,3.86969,787,524,458,6.07615,"Abl1",16.493449,7.635737,7.237194,757,701,772,10.45546,0.617709808248643
"ABL2",1.446018,0.98648,1.194757,315,194,136,0,"Abl2",9.166805,2.613638,2.099504,1313,592,529,4.626649,0.177725676508344
"ABLIM1",59.262507,38.678189,34.133185,7498,5439,4652,1.242575,"Ablim1",19.521036,10.009919,8.622963,1779,1479,1369,12.7179726666667,0.16347714450906
"ABLIM2",6.864886,5.835002,6.004859,163,143,105,0.375775,"Ablim2",97.913663,59.151526,46.287557,1212,1466,1295,67.7842486666667,0.0200013088267796
"ABLIM3",1.439051,0.939932,0.795889,79,55,65,0,"Ablim3",4.516867,3.560203,3.140058,289,412,368,3.73904266666667,0.211013082248398
"ABO",0.108377,0.428422,0.100191,15,12,11,32.133593,"Abo",0,0,0,0,0,0,0,33.133593
"ABR",137.5781,52.298863,84.704982,1454,973,842,58.4552836666667,"Abr",121.644538,73.850699,64.046723,7113,7103,6497,86.5139866666667,0.679380358857685
"ABRA",1.22541,0.904378,0.700678,55,43,33,0.143714666666667,"Abra",0.023622,0.027351,0.115394,1,2,8,0.0554556666666667,1.08362170272745
"ABRACL",1.304502,3.067132,2.188819,11,29,19,2.930831,"Abracl",33.217061,37.836813,39.468236,67,98,101,36.8407033333333,0.103878381048414
"ABRAXAS1",1.870927,1.13124,1.242214,62,58,36,0.970076,"Abraxas1",2.097837,2.986823,1.808422,42,70,66,2.297694,0.597410190272354
"ABRAXAS2",2.908321,2.115077,1.946772,158,120,108,19.409946,"Abraxas2",15.079319,12.887985,9.021063,380,628,479,12.3294556666667,1.53119125869781
"ABT1",3.32542,2.791458,2.174212,199,168,128,1.20228266666667,"Abt1",2.396752,2.64066,2.619396,162,315,315,2.55226933333333,0.619965002653703
"ABTB1",4.435767,2.908722,2.928956,118,103,97,117.910354,"Abtb1",21.831981,27.654929,23.552319,275,528,482,24.3464096666667,4.69140819405205
"ABTB2",6.950399,6.045716,4.152189,790,633,438,0.0212173333333333,"Abtb2",3.117546,2.432269,2.363293,188,299,300,2.63770266666667,0.280731392010415
"ACAA1",73.219918,69.137641,52.278734,1732,1479,1295,0.441026,"Acaa1b",0.135692,0.223053,0.257686,3,9,11,0.205477,1.19539899973206
"ACAA2",33.764452,29.686524,22.134757,1017,904,664,19.4534313333333,"Acaa2",16.998977,25.66273,27.282412,209,607,599,23.3147063333333,0.841195902304338
"ACACA",7.1497,4.870629,6.747958,693,417,430,0.974021333333333,"Acaca",15.981778,6.514919,6.271574,1592,1200,1232,9.58942366666667,0.186414425890537
"ACACB",26.02878,14.841445,7.767875,1315,753,655,1.045542,"Acacb",0.922284,0.975901,1.144648,109,90,100,1.01427766666667,1.01552136224847
"ACAD10",20.02537,13.653281,10.050915,659,558,399,14.3326123333333,"Acad10",1.268187,1.37903,0.87532,38,74,65,1.174179,7.05213891465851
"ACAD11",6.08628,6.516346,6.250521,364,279,315,9.801573,"Acad11",7.725064,8.513703,8.234594,340,530,552,8.157787,1.17949598522001
"ACAD8",17.886304,13.41606,11.385466,633,534,433,0.348885333333333,"Acad8",13.864191,15.434606,14.236606,258,559,469,14.511801,0.0869586538231978
"ACAD9",9.950716,8.300763,6.289277,369,346,279,0.00452933333333333,"Acad9",28.724183,35.433702,31.159821,429,851,844,31.7725686666667,0.0306515288304225
"ACADL",0.430319,0.363646,0.199827,20,21,12,19.283423,"Acadl",19.503812,22.189297,22.09295,399,856,916,21.2620196666667,0.911122319704476
"ACADM",55.824798,42.128201,34.763102,1043,919,796,0.271208333333333,"Acadm",46.965469,51.19742,51.99983,336,672,732,50.0542396666667,0.0248991727549574
"ACADS",15.466497,14.289382,12.849752,587,501,461,11.872711,"Acads",3.826219,4.460667,5.525779,58,193,222,4.60422166666667,2.29696678069777
"ACADSB",6.230585,3.533107,3.515221,558,395,389,0.199794666666667,"Acadsb",145.380778,130.594786,130.001808,908,1382,1212,135.325790666667,0.00880093679119245
"ACADVL",539.418883,513.721339,438.661315,4271,3691,3049,17.5133453333333,"Acadvl",18.073398,20.606721,19.713457,479,1011,988,19.4645253333333,0.904655496855241
"ACAN",0,0.022851,0,0,2,0,3.04950066666667,"Acan",0.97749,0.350438,0.41702,94,47,60,0.581649333333333,2.56030245220812
"ACAP1",14.853065,11.82895,6.245988,42,44,28,0.534163333333333,"Acap1",0,0.018565,0.036549,0,1,2,0.0183713333333333,1.50648715563478
"ACAP2",2.720509,0.953916,0.841565,159,108,106,26.4081756666667,"Acap2",36.691042,10.677867,10.414354,1409,875,776,19.2610876666667,1.35274947315678
"ACAT1",106.632562,103.500411,97.170077,946,923,785,5.969076,"Acat1",43.890942,47.535747,47.180457,948,1985,2072,46.202382,0.147642464314619
"ACAT2",7.765272,8.394048,3.664681,210,229,100,22.2122423333333,"Acat2",21.860344,25.469903,26.905039,427,936,993,24.7450953333333,0.9016180376415
"ACBD3",26.857783,13.437707,11.62415,382,312,276,94.706676,"Acbd3",10.281829,7.11692,5.836016,516,626,510,7.74492166666667,10.9442576672595
"ACBD5",7.618894,5.044549,4.657079,439,324,287,24.477655,"Acbd5",31.718534,21.222073,20.502479,1208,1400,1161,24.4810286666667,0.999867600844895
"ACBD6",23.154423,24.794667,23.033485,532,463,433,0.176179,"Acbd6",46.051315,40.289734,37.283973,465,683,684,41.2083406666667,0.0278660326708571
"ACBD7",0.572654,0.568327,0.510339,37,38,33,6.53185033333333,"Acbd7",0,0.633204,0.507256,0,5,4,0.380153333333333,5.45725619858663
"ACCS",8.564602,4.575821,7.352098,163,107,122,12.768286,"Accs",1.702548,1.880763,1.530269,43,62,61,1.70452666666667,5.09083018840019
"ACCSL",0,0,0,0,0,0,0.00512366666666667,"Accsl",0,0.221119,0.229811,0,2,2,0.15031,0.873785037656516
"ACD",6.047245,4.588355,4.00999,85,83,68,8.21773166666667,"Acd",15.910447,14.66128,14.732569,297,491,503,15.101432,0.572478998555325
"ACE",1.157448,0.481306,0.687591,31,27,17,3.13386766666667,"Ace",8.036527,5.639198,4.870534,431,541,552,6.18208633333333,0.575580336243057
"ACE2",0.292,0.608641,1.089188,17,9,22,0.00736633333333333,"Ace2",0.383734,0.590837,0.631366,19,44,39,0.535312333333333,0.656131206310464
"ACER1",0,0,0,0,0,0,0,"Acer1",0.030558,0,0,1,0,0,0.010186,0.989916708408154
"ACER2",0.086941,0.071304,0.036141,5,4,2,18.880558,"Acer2",3.118334,2.54008,2.402802,132,184,153,2.687072,5.39196359604586
"ACER3",5.889447,3.785697,2.608854,373,369,276,0.568908666666667,"Acer3",3.481609,5.184627,5.45389,351,403,381,4.70670866666667,0.27492356072613
"ACHE",0.074404,0.220625,0.154447,5,9,7,25.9771216666667,"Ache",33.834013,47.679276,42.808478,660,1514,1703,41.440589,0.635644374932371
"ACIN1",48.187336,30.018075,26.134553,1665,1167,1053,0,"Acin1",45.807958,21.09828,21.753088,1080,1089,980,29.5531086666667,0.0327298937371632
"ACKR1",0,0,0,0,0,0,34.58212,"Ackr1",101.103231,14.233693,28.400341,431,187,207,47.9124216666667,0.727465923533466
"ACKR2",2.083034,1.740608,0.931254,43,37,20,0.056822,"Ackr2",0.649428,0.359553,0.708918,12,16,18,0.572633,0.672008027301983
"ACKR3",4.479841,2.665596,2.943872,125,78,87,0.0230306666666667,"Ackr3",3.231514,3.181414,3.449357,127,255,243,3.28742833333333,0.238611724122114
"ACKR4",0,0,0,0,0,0,27.5920056666667,"Ackr4",0.132857,0.125531,0.088747,4,6,5,0.115711666666667,25.6266977579333
"ACLY",20.336467,13.559479,13.590368,1109,844,693,0.014085,"Acly",44.180974,41.640376,34.502339,2485,3516,3246,40.1078963333333,0.0246688614707268
"ACMSD",0.044606,0.168465,0.027939,1,1,1,2.473935,"Acmsd",0.102752,0.079444,0,3,4,0,0.060732,3.27503554149399
"ACO1",8.895559,7.661565,6.460032,708,594,504,23.015551,"Aco1",7.262014,5.414308,4.996443,412,554,518,5.89092166666667,3.48509998541559
"ACO2",146.738618,107.939366,96.620982,7447,5908,4897,0.216119666666667,"Aco2",263.104087,251.75769,261.873345,6115,11826,11858,258.911707333333,0.0046789722523234
"ACOD1",0,0,0,0,0,0,0,"Acod1",0,0.073883,0.014681,0,5,1,0.0295213333333333,0.971325185425978
"ACOT1",6.652744,7.561148,4.666439,192,191,127,0.0160763333333333,"Acot3",0.889756,0.635427,0.487761,33,39,32,0.670981333333333,0.608071624179325
"ACOT11",20.174206,15.320592,11.474642,1325,899,708,0.0559843333333333,"Acot11",21.802128,6.375834,9.361889,792,624,658,12.5132836666667,0.0781441697948027
"ACOT12",0.102651,0,0,1,0,0,10.6504483333333,"Acot12",0.04416,0.076111,0.025569,2,6,2,0.0486133333333333,11.1103377794166
"ACOT13",28.624228,30.396445,27.420034,613,576,520,0.006508,"Acot13",187.035261,203.440437,207.538666,394,833,891,199.338121333333,0.00502404631380823
"ACOT2",88.207517,93.696934,77.668179,1144,999,964,0.306412,"Acot2",2.118218,1.538339,1.968624,59,81,106,1.87506033333333,0.454394638211071
"ACOT4",0.124947,0.174781,0.261237,6,8,12,3.80938333333333,"Acot4",0.670655,0.306245,0.31109,62,50,51,0.42933,3.36478163428553
"ACOT6",0.188194,0,0.040322,5,0,1,12.6457773333333,"Acot6",1.922866,1.41504,1.514438,91,121,132,1.617448,5.21339003996768
"ACOT7",18.509861,18.078012,11.411107,521,479,300,33.1908626666667,"Acot7",174.61588,209.453191,230.233611,2449,5334,5637,204.767560666667,0.166162550383995
"ACOT8",14.918157,12.104523,11.463739,289,242,204,1.29594133333333,"Acot8",8.915559,7.038879,6.834587,102,183,184,7.59634166666667,0.267083536504385
"ACOT9",29.935853,23.797934,22.855973,918,759,709,2.03923233333333,"Acot9",8.656998,10.402593,11.574608,207,422,487,10.2113996666667,0.271084112929224
"ACOX1",26.743277,25.166,14.165662,569,533,438,18.3481623333333,"Acox1",52.075992,36.160964,33.933861,2775,3505,3371,40.7236056666667,0.463722202915716
"ACOX2",17.904677,19.718667,13.035042,296,273,205,38.0836203333333,"Acox2",0.425945,0.503412,0.569201,5,11,9,0.499519333333333,26.064098984608
"ACOX3",11.241262,6.789727,5.371668,239,160,120,2.683347,"Acox3",14.587127,10.948877,12.068161,399,504,521,12.5347216666667,0.272140579667135
"ACOXL",0.725081,0.07677,0.356086,14,3,7,17.4300403333333,"Acoxl",0.094962,0.026312,0.051821,2,1,2,0.0576983333333333,17.4246661382656
"ACP1",30.223411,32.418039,30.824921,582,628,585,19.0402076666667,"Acp1",42.16122,34.03718,37.936118,564,974,980,38.0448393333333,0.513261368437953
"ACP2",43.214406,45.839884,42.704658,569,466,395,0,"Acp2",27.775885,13.88201,13.462821,1230,1605,1534,18.373572,0.0516167075436579
"ACP4",0,0.080253,0,0,2,0,3.587013,"Acp4",0,0,0,0,0,0,0,4.587013
"ACP5",0.224677,1.062225,0,1,4,0,0.19397,"Acp5",0.266159,0.463497,0.182784,5,15,6,0.304146666666667,0.915518193250248
"ACP6",5.616296,6.558338,5.860511,182,148,113,0.334708,"Acp6",6.776354,4.322587,4.022952,116,152,143,5.040631,0.220955062476089
"ACP7",0.015824,0.016768,0.030042,1,1,2,93.1555226666667,"Acp7",1.312528,1.068579,0.512198,10,21,22,0.964435,47.9300779443793
"ACR",0,0.037509,0.037908,0,1,1,2.11296733333333,"Acr",0.186909,0.423882,0.312842,2,7,5,0.307877666666667,2.38016705436008
"ACRBP",0.3985,0.030659,0.225437,4,1,2,0.842184333333333,"Acrbp",3.307852,1.573221,2.810081,32,37,54,2.563718,0.516927639429757
"ACRV1",0.027065,0.168649,0.254211,1,3,3,0.138813666666667,"Acrv1",0.041311,0,0.023691,2,0,2,0.0216673333333333,1.1146619153919
"ACSBG1",0.540764,0.319036,0.523883,30,21,25,19.5671083333333,"Acsbg1",75.991695,72.124837,77.401997,1978,4020,4197,75.172843,0.270005785832798
"ACSBG2",0.522338,0.103219,0.103778,4,1,1,21.4794623333333,"Acsbg2",0,0,0.028707,0,0,2,0.009569,22.2663951976867
"ACSF2",61.978687,54.648487,53.059789,577,446,412,0,"Acsf2",10.926012,9.765954,9.224856,183,286,301,9.972274,0.0911388104234364
"ACSF3",19.299129,13.763293,10.433563,273,225,190,0,"Acsf3",6.485458,6.055549,5.885676,203,348,340,6.14222766666667,0.140012338820712
"ACSL1",43.878419,27.152981,30.101182,716,624,486,0.0304663333333333,"Acsl1",42.346285,28.804089,28.573101,682,880,842,33.2411583333333,0.0300943771615982
"ACSL3",71.523045,48.918818,50.907122,1224,1079,919,3.02931966666667,"Acsl3",155.549541,107.251119,90.126894,2978,3760,3462,117.642518,0.0339618522481685
"ACSL4",36.054531,15.661033,10.428141,1246,833,675,0.272184333333333,"Acsl4",36.923525,27.741878,18.657545,1487,1298,1009,27.774316,0.0442124960792581
"ACSL5",0.1358,0,0.182111,3,0,1,13.169485,"Acsl5",90.630157,64.187729,63.662764,978,1441,1317,72.8268833333333,0.191928527390542
"ACSL6",0.165731,0.038947,0.026724,5,3,2,1.68527833333333,"Acsl6",88.954339,98.112671,85.343388,3610,5149,4996,90.803466,0.0292502935927641
"ACSM1",0,0.159858,0,0,2,0,20.803934,"Acsm1",0,0,0,0,0,0,0,21.803934
"ACSM2B",0,0.111241,0,0,2,0,7.360807,"Acsm2",0.04055,0,0,4,0,0,0.0135166666666667,8.24930390883229
