"Hs_symbol","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","Hs_Avg_TPM","Mm_genes","Spinal_Cord-S2","Spinal_Cord-S14","Spinal_Cord-S8","Spinal_Cord-S2_read","Spinal_Cord-S14_read","Spinal_Cord-S8_read","Mm_Avg_TPM","FoldChange"
"AASDHPPT",129.667907,110.451006,134.287207,3231,3083,2547,143.578193333333,"Aasdhppt",7.37912,6.932505,6.263653,392,582,102,6.858426,18.3978564324883
"AASS",4.313875,2.742641,4.506,299,175,207,43.404743,"Aass",0.727559,1.359941,0.620717,39,83,12,0.902739,23.3372748443165
"AATF",14.476301,19.209898,14.950782,208,297,163,72.099048,"Aatf",5.791477,4.306441,4.535828,176,197,48,4.87791533333333,12.4362199614308
"AATK",14.223841,16.332434,12.634368,449,556,369,49.9149603333333,"Aatk",118.038677,125.518116,98.177824,7807,12349,2727,113.911539,0.443079613904861
"ABAT",28.063871,26.832749,35.879571,1227,1323,1029,0.639692,"Abat",168.964922,122.107798,135.354847,10783,12924,3096,142.142522333333,0.0114549609247606
"ABCA1",4.057191,3.554462,2.51638,570,529,255,13.8334303333333,"Abca1",6.043864,5.208708,5.365657,945,1230,203,5.53940966666667,2.26831336304617
"ABCA13",0.087452,0.016383,0.151556,5,2,6,22.7370223333333,"Abca13",0.047409,0.010958,0,7,6,0,0.0194556666666667,23.2840162740443
"ABCA17P",2.031216,2.837622,4.432733,10,18,15,0.140757,"Abca17",0.181091,0.162112,0.027633,10,16,1,0.123612,1.01525882600043
"ABCA2",107.50449,75.111095,79.577059,1545,1840,1190,107.118573666667,"Abca2",187.735036,204.759133,180.525361,10708,19126,3021,191.00651,0.563098478622765
"ABCA3",51.9705,59.537578,54.006441,4138,4756,3097,28.249626,"Abca3",14.947317,12.397739,14.833255,1948,2418,589,14.059437,1.94227885146038
"ABCA4",0.905126,0.080781,0.014008,7,3,1,29.9432906666667,"Abca4",0.320539,0.548091,0.211687,20,22,5,0.360105666666667,22.7506519714032
"ABCA5",15.166472,15.375498,16.666334,612,687,561,6.02759666666667,"Abca5",10.426741,9.657139,7.69426,1834,2418,419,9.25938,0.684992335469265
"ABCA6",0.380325,0.502694,0.140608,12,17,6,133.001987666667,"Abca6",1.102142,1.064141,0.65707,128,183,24,0.941117666666667,69.0334182042545
"ABCA7",53.395405,36.508479,39.178153,1224,1180,903,0.445913,"Abca7",6.531162,5.344626,6.635365,985,1230,314,6.17038433333333,0.201650697198797
"ABCA8",0.39584,0.133049,0.866773,3,4,10,156.648378666667,"Abca8b",2.986576,2.668696,2.137732,492,660,110,2.597668,43.819601660483
"ABCA9",1.630893,5.875754,1.09333,74,97,41,69.9769943333333,"Abca9",1.374692,1.128702,1.013082,182,236,45,1.17215866666667,32.6757871892722
"ABCB1",1.409905,3.284378,1.946045,27,71,43,6.184727,"Abcb1a",51.550946,45.585615,82.118006,956,1215,296,59.7515223333333,0.118264147531623
"ABCB10",10.325898,7.423625,9.542775,388,332,292,3.860617,"Abcb10",7.860339,9.169756,7.734576,712,1245,220,8.25489033333333,0.525194445848107
"ABCB11",1.639649,3.496208,2.969016,7,12,8,43.6574986666667,"Abcb11",0.107312,0.072965,0,3,3,0,0.0600923333333333,42.1260462532037
"ABCB4",0.520114,0.10443,0.985588,4,3,5,0.312118,"Abcb4",1.400501,1.459437,1.017312,106,145,28,1.29241666666667,0.572373259660475
"ABCB5",0,0.258936,0.058403,0,2,3,282.399342,"Abcb5",0,0,0,0,0,0,0,283.399342
"ABCB6",45.798715,35.435408,31.250175,534,550,292,84.7606963333333,"Abcb6",11.256848,9.906954,10.797514,311,438,107,10.653772,7.35905047166989
"ABCB7",7.623563,5.152974,8.512265,182,173,131,0.123838333333333,"Abcb7",7.537502,7.121689,6.273685,852,1270,219,6.97762533333333,0.140873792184441
"ABCB8",22.108301,23.197393,18.535002,526,651,446,0.159250666666667,"Abcb8",32.393634,22.982948,29.272752,764,1061,243,28.2164446666667,0.0396780196869494
"ABCB9",13.147339,16.158433,16.129464,347,428,305,1.87087366666667,"Abcb9",13.338002,13.437693,14.346582,897,1194,345,13.7074256666667,0.195198924117176
"ABCC1",4.341232,5.649856,8.644544,333,452,284,0.105779666666667,"Abcc1",6.382838,7.348494,2.504568,439,657,118,5.41196666666667,0.172455616841427
"ABCC10",47.610062,53.34286,79.775617,605,657,496,0.021098,"Abcc10",4.048571,3.606159,3.043047,272,388,93,3.56592566666667,0.223634389726158
"ABCC12",0.051357,0.030371,0,2,1,0,23.8082643333333,"Abcc12",0.455108,0.934647,0.773761,35,106,17,0.721172,14.4135881442025
"ABCC2",0.295949,0.49826,0.480955,6,12,3,0.334740666666667,"Abcc2",0.077074,0.105317,0.017706,5,9,1,0.066699,1.25128144553118
"ABCC3",0.450343,0.479305,0,4,3,0,0.114704333333333,"Abcc3",0.811729,0.712912,0.426075,31,43,6,0.650238666666667,0.675480677946382
"ABCC5",41.572952,43.888857,45.250485,1760,2095,1575,15.5332103333333,"Abcc5",183.364476,141.300881,150.092514,4295,5403,1092,158.252623666667,0.103817506755425
"ABCC6",0.688326,0.691802,0.278854,12,21,8,19.1169983333333,"Abcc6",1.008744,1.57666,0.876534,63,89,18,1.15397933333333,9.33945745069049
"ABCC9",1.51249,0.676152,0.605353,166,81,48,0,"Abcc9",2.029741,1.735282,2.238094,334,424,115,2.001039,0.333217928857306
"ABCD1",6.614678,7.050127,8.893207,192,234,142,11.794229,"Abcd1",3.751694,3.290507,2.928051,253,362,74,3.32341733333333,2.95928614185754
"ABCD2",1.111828,0.947205,1.460715,91,82,86,4.90809766666667,"Abcd2",26.320987,26.081769,26.769714,1181,1617,306,26.3908233333333,0.215696242305969
"ABCD3",14.822618,16.086553,17.331049,639,817,573,0.0358056666666667,"Abcd3",23.379323,22.163501,20.687641,1616,2217,462,22.0768216666667,0.0448851094673422
"ABCD4",49.321733,40.153747,59.337327,485,502,452,7.31561533333333,"Abcd4",9.282074,6.916407,9.782007,391,509,129,8.66016266666667,0.860815249211815
"ABCE1",40.838605,40.205738,45.232008,918,1004,713,42.16418,"Abce1",20.233439,17.96782,16.699634,1557,2065,408,18.3002976666667,2.23645151725035
"ABCF1",46.260735,63.760304,59.860432,625,761,519,22.990304,"Abcf1",39.898575,34.456644,30.824655,1253,1481,371,35.059958,0.665289294014153
"ABCF2",26.268774,19.429182,42.181654,443,535,432,3.782833,"Abcf2",28.959469,23.183203,30.132421,1585,1906,522,27.425031,0.168261311658728
"ABCF3",49.775637,52.727308,46.588001,554,722,457,125.126357,"Abcf3",251.730555,202.838829,291.535145,1377,1754,455,248.701509666667,0.505108508027723
"ABCG1",7.097047,8.637267,8.443098,274,360,227,41.110303,"Abcg1",18.19387,16.716273,15.025299,1036,1496,310,16.6451473333333,2.38650900468537
"ABCG2",0.071606,0.158845,0.025076,4,11,1,15.829827,"Abcg2",29.071391,25.795465,21.358509,625,771,199,25.408455,0.637289345400933
"ABCG5",0.093551,0.161392,0.087861,3,7,2,106.982320666667,"Abcg5",0.145426,0.040795,0.09925,3,3,1,0.095157,98.5998543283444
"ABCG8",0.279919,0.336852,0.476524,19,25,16,28.449329,"Abcg8",0.024937,0.008273,0,2,1,0,0.01107,29.1268942803169
"ABHD1",1.219066,0.595476,1.404846,17,18,14,36.4106556666667,"Abhd1",1.196823,0.71728,1.031029,31,27,8,0.981710666666667,18.877960489355
"ABHD10",20.734833,22.479951,21.319982,502,570,353,52.0153973333333,"Abhd10",10.83551,11.441995,11.652591,366,588,127,11.310032,4.30668233302183
"ABHD11",5.79209,6.6316,4.983045,56,74,48,1.01128866666667,"Abhd11",14.205171,12.188733,16.893946,276,355,101,14.4292833333333,0.130355287618673
"ABHD12",62.698382,74.955257,56.465736,591,762,413,0.094133,"Abhd12",220.058829,194.911665,204.331185,3618,4930,1247,206.433893,0.00527461054785295
"ABHD13",2.86622,3.359063,3.388676,195,241,166,18.541765,"Abhd13",5.454363,4.367787,4.270211,591,721,144,4.69745366666667,3.42991205252452
"ABHD14A",25.012009,25.594496,21.460029,268,287,164,6.37133133333333,"Abhd14a",13.142815,14.339487,11.925889,244,407,75,13.1360636666667,0.521455725380977
"ABHD14B",1.988993,2.13046,2.242736,33,40,33,43.3670903333333,"Abhd14b",12.490752,10.736031,18.244562,299,361,106,13.8237816666667,2.99296706677075
"ABHD15",0.139043,0.156659,0.265244,6,8,8,171.852216666667,"Abhd15",0.515703,0.794554,0.51023,29,56,9,0.606829,107.573498279323
"ABHD16A",34.317671,41.166479,61.739668,552,678,517,1.33119033333333,"Abhd16a",51.520744,49.225194,58.978636,1022,1419,372,53.2415246666667,0.0429779647172406
"ABHD16B",0,0,0,0,0,0,13.7652813333333,"Abhd16b",0,0.018444,0,0,1,0,0.006148,14.6750590701699
"ABHD17A",13.189788,17.685175,18.251272,437,578,391,27.7386756666667,"Abhd17a",54.09094,54.838004,80.823187,1138,1767,543,63.2507103333333,0.447289617773409
"ABHD17B",9.608137,10.13461,9.429544,351,345,244,83.284592,"Abhd17b",15.276339,14.658277,14.065653,575,887,163,14.6667563333333,5.37983678348735
"ABHD17C",26.356909,23.923575,30.757178,465,485,360,9.65143666666667,"Abhd17c",8.324551,5.812786,7.446699,240,377,81,7.19467866666667,1.2997991867568
"ABHD18",3.898036,4.946809,4.114577,195,202,135,0.774971333333333,"Abhd18",5.207263,4.045483,2.511846,323,360,56,3.92153066666667,0.360654327596726
"ABHD2",24.811763,18.501694,16.975591,1534,1881,1288,18.620664,"Abhd2",10.865608,9.806749,11.171332,1666,2251,544,10.614563,1.68931573232674
"ABHD3",2.112366,4.383957,4.812756,34,41,40,113.561289333333,"Abhd3",46.049488,40.965363,48.916433,1107,1482,417,45.310428,2.47376874455432
"ABHD4",5.832204,5.914283,14.836758,103,107,75,4.12357966666667,"Abhd4",41.709837,46.489543,44.554436,1708,2683,643,44.251272,0.113225097112556
"ABHD5",6.272151,9.717485,9.994526,224,264,185,34.890834,"Abhd5",23.061725,28.261032,19.459388,517,895,157,23.5940483333333,1.45933005878319
"ABHD6",12.738211,13.156293,8.173231,201,211,124,2.239496,"Abhd6",17.219782,14.994396,17.500717,721,938,243,16.5716316666667,0.184359430100354
"ABHD8",7.19407,9.390167,9.704944,145,236,124,0.103042,"Abhd8",50.936956,38.078002,64.276007,2090,2352,803,51.0969883333333,0.0211728553854665
"ABI1",19.731057,19.365981,20.50402,618,612,424,74.8551316666667,"Abi1",61.0719,45.96582,56.390212,1232,1550,346,54.4759773333333,1.36735097447465
"ABI2",50.424881,51.894418,63.248999,3251,3183,2502,23.8258956666667,"Abi2",30.069824,20.950699,16.188413,1747,2281,476,22.4029786666667,1.06080067927536
"ABI3",0,0.209091,0.075429,0,3,1,19.957815,"Abi3",2.297924,3.572839,4.360517,45,62,12,3.41042666666667,4.75187925884722
"ABITRAM",12.878776,15.022405,19.706706,130,158,143,9.75406533333333,"Abitram",4.721721,3.482861,4.223285,316,411,72,4.14262233333333,2.09116373637393
"ABL1",23.387004,25.535463,27.529949,995,1264,955,3.58069533333333,"Abl1",17.252337,18.901642,11.215876,1307,2217,446,15.7899516666667,0.272823616426928
"ABL2",4.876134,5.408775,4.808567,785,862,542,0,"Abl2",6.505006,5.893185,4.067408,1208,1501,243,5.488533,0.154118041782326
"ABLIM1",100.860799,75.151885,120.837451,7750,6453,5627,2.363428,"Ablim1",19.932181,14.238708,13.501742,2058,2420,544,15.890877,0.199126901462843
"ABLIM2",19.980956,30.901303,25.59889,462,672,364,50.8898673333333,"Ablim2",77.501144,78.624032,83.529767,2000,2948,656,79.884981,0.641526605950904
"ABLIM3",48.422608,52.934019,47.138285,1626,2148,1222,6.19063333333333,"Ablim3",3.978462,2.558477,2.756626,379,366,82,3.097855,1.75473103204807
"ABO",0.839964,0.413628,1.770949,23,39,31,151.788392,"Abo",0,0.018597,0.087707,0,1,1,0.0354346666666667,147.559664475853
"ABR",591.586845,672.731938,685.513728,3340,3625,3006,1389.66802333333,"Abr",74.646676,57.404363,59.13765,5473,6170,1543,63.729563,21.484279498895
"ABRA",0.028665,0.053548,0.080009,1,2,2,535.157017,"Abra",0.018005,0.01128,0,1,1,0,0.00976166666666667,530.973827487344
"ABRACL",19.223716,14.20645,19.051796,138,111,99,11.5527636666667,"Abracl",36.891442,26.41917,26.414674,73,83,21,29.9084286666667,0.40612752599113
"ABRAXAS1",4.102444,3.794132,3.584166,77,83,56,0.999892666666667,"Abraxas1",4.084361,3.180293,2.25232,103,114,24,3.17232466666667,0.479323357226755
"ABRAXAS2",9.187908,9.791007,10.77312,353,405,295,35.14397,"Abraxas2",11.466733,11.511173,8.682248,552,673,163,10.5533846666667,3.12843128163828
"ABT1",4.88843,4.285503,5.231131,188,179,143,2.10201733333333,"Abt1",1.876958,1.547864,2.244052,184,227,69,1.88962466666667,1.07350181811386
"ABTB1",2.982307,4.057105,10.245762,62,115,92,8.11133266666667,"Abtb1",20.185235,16.277574,21.128845,464,615,144,19.197218,0.451118201856645
"ABTB2",1.344934,1.96267,3.69669,85,140,90,0,"Abtb2",4.27992,4.990935,4.435689,419,704,139,4.568848,0.179570352791098
"ACAA1",46.486176,54.061449,53.958237,591,740,475,11.3941106666667,"Acaa1b",0.773102,0.218939,0.620438,15,11,7,0.537493,8.06124689131376
"ACAA2",7.463552,10.616386,8.612113,146,199,117,87.1742526666667,"Acaa2",20.963765,13.131852,15.757114,326,408,95,16.617577,5.00490235783653
"ACACA",87.127535,78.297049,72.405289,3380,3012,2176,1.909915,"Acaca",22.195442,21.317759,10.804532,2827,4307,669,18.105911,0.152304436045996
"ACACB",3.694984,3.933355,3.564281,62,63,54,1.682011,"Acacb",2.966425,2.245241,1.899891,253,405,100,2.370519,0.795726414834036
"ACAD10",11.611479,11.630295,14.269463,185,171,157,11.8460196666667,"Acad10",1.395235,2.376533,2.320622,85,127,26,2.03079666666667,4.23849603899525
"ACAD11",6.956361,6.78533,9.702243,123,171,123,28.4638313333333,"Acad11",11.338964,9.925988,11.505482,562,777,163,10.923478,2.47107692347261
"ACAD8",28.56967,26.216904,35.090426,521,559,449,0.17684,"Acad8",14.2754,12.586996,10.959902,352,475,104,12.6074326666667,0.0864850871452656
"ACAD9",16.730664,15.138342,15.036653,348,375,288,0.081864,"Acad9",41.203767,34.89229,35.359212,975,1301,247,37.1517563333333,0.0283568596566751
"ACADL",0.288112,0.704497,0.707281,9,17,9,18.6455233333333,"Acadl",25.651733,24.871783,24.52402,840,1274,288,25.0158453333333,0.755136843781974
"ACADM",34.991444,30.116255,36.311604,538,526,442,0.361587666666667,"Acadm",58.745312,36.227401,29.691039,514,691,140,41.554584,0.0319962631209523
"ACADS",1.771714,2.673468,3.757556,38,59,46,28.0018226666667,"Acads",6.529714,5.634912,4.78439,176,254,53,5.649672,4.36139145910756
"ACADSB",5.696079,5.142362,5.947202,415,396,308,2.81618,"Acadsb",140.109473,139.144093,71.864677,1218,1759,269,117.039414333333,0.0323297097122443
"ACADVL",236.028354,256.563668,245.533457,1257,1410,953,17.6677166666667,"Acadvl",29.417193,26.697487,39.322243,974,1271,339,31.8123076666667,0.568924223687894
"ACAN",0.108891,0.370897,0.103268,8,10,6,3.98894966666667,"Acan",4.519357,3.856825,3.878308,545,722,134,4.08483,0.981143846828049
"ACAP1",9.140538,8.118628,5.692809,23,41,22,0.258482,"Acap1",0.160375,0.198819,0.333643,9,13,3,0.230945666666667,1.02237006399145
"ACAP2",19.442193,11.477702,6.945933,361,356,272,59.4039493333333,"Acap2",24.012689,28.211964,19.001302,1829,3174,501,23.741985,2.44135421363053
"ACAT1",122.137156,118.34408,129.991315,655,741,527,6.29316433333333,"Acat1",41.162205,35.798947,46.975877,1423,1790,443,41.312343,0.172364936948383
"ACAT2",150.038137,113.788996,97.188096,2596,2136,1199,33.8141496666667,"Acat2",40.665782,41.068989,46.124782,1183,1881,412,42.619851,0.79812628582034
"ACBD3",55.57853,50.960754,31.733687,687,749,476,93.2477886666667,"Acbd3",10.456161,8.817061,9.958128,748,956,223,9.74378333333333,8.77230913380916
"ACBD5",22.086031,24.008406,24.78825,786,939,654,58.196314,"Acbd5",39.799716,34.501608,29.768931,1629,2629,472,34.690085,1.65862070656318
"ACBD6",44.648742,40.179244,47.697377,561,617,466,0.328216333333333,"Acbd6",35.28567,29.491404,43.187113,614,762,206,35.9880623333333,0.0359093245102584
"ACBD7",1.043718,2.012931,2.647439,46,68,57,10.4382076666667,"Acbd7",0.916559,0.914463,0.98258,6,9,2,0.937867333333333,5.90247199584698
"ACCS",2.852259,6.929111,6.720408,40,71,38,5.38913033333333,"Accs",3.86236,2.573998,5.720381,126,178,54,4.05224633333333,1.26461180073101
"ACCSL",0,0.041683,0,0,1,0,0.0218153333333333,"Accsl",0.100077,0.118829,0.067827,4,3,1,0.0955776666666667,0.932672657012298
"ACD",10.823814,17.900748,15.750557,143,186,143,14.7655226666667,"Acd",11.708988,8.977386,15.558951,321,353,126,12.081775,1.20515164545076
"ACE",7.650195,4.932748,4.196313,104,116,46,7.34964133333333,"Ace",6.85104,5.450423,6.464917,583,638,164,6.25546,1.1508079892017
"ACE2",0.257103,0.077158,0.190801,1,1,1,0.266672333333333,"Ace2",0.703129,0.439627,0.086061,42,48,2,0.409605666666667,0.898600483303014
"ACER1",0.061841,0,0.249022,1,0,3,0,"Acer1",0.021691,0.013217,0,1,1,0,0.011636,0.988497839143724
"ACER2",1.702671,1.924675,1.809561,61,75,46,90.6698553333333,"Acer2",3.578901,3.612412,3.507171,293,419,95,3.56616133333333,20.0759124878344
"ACER3",5.618697,5.605735,6.031901,410,489,347,1.13353,"Acer3",5.33321,5.297838,3.312498,588,759,160,4.64784866666667,0.377759767642499
"ACHE",123.812487,148.175891,116.216143,2791,3847,1730,34.2847416666667,"Ache",133.05904,101.056948,116.214608,3230,4242,1133,116.776865333333,0.299589750217952
"ACIN1",89.895784,89.267185,92.097629,1572,1683,1229,9.22705566666667,"Acin1",66.142631,56.196921,48.187616,1860,2205,484,56.8423893333333,0.176809011255229
"ACKR1",9.846748,12.019005,14.314649,231,292,219,243.496532666667,"Ackr1",114.430787,96.035182,148.031874,588,717,265,119.499281,2.02902897542324
"ACKR2",0.432002,0.122803,0.473199,14,5,6,0.588990666666667,"Ackr2",0.032776,0.296782,0.051631,2,4,1,0.127063,1.40985079509013
"ACKR3",0,0.074184,0.633304,0,2,7,10.1824796666667,"Ackr3",1.888017,2.183048,2.652716,122,214,54,2.24126033333333,3.45004057578014
"ACKR4",0.106321,0,0,3,0,0,80.0208846666667,"Ackr4",0.090908,0.281831,0.055977,4,16,1,0.142905333333333,70.8902848763211
"ACLY",254.093676,248.408509,244.338036,6921,7108,4396,0.0215826666666667,"Acly",104.42968,115.808562,122.784102,7508,12430,2500,114.340781333333,0.00885708120629343
"ACMSD",0.255707,0.275251,0.059046,1,2,1,3.448074,"Acmsd",0.250152,0.082175,0.159311,10,6,2,0.163879333333333,3.82176560113047
"ACO1",9.414829,8.829655,9.906688,628,626,488,5.19530633333333,"Aco1",9.548868,11.643803,10.725997,688,969,232,10.639556,0.532263114961888
"ACO2",76.722101,90.811985,92.660824,1805,2351,1468,6.22008466666667,"Aco2",275.677282,225.355992,267.756615,9127,11839,3130,256.263296333333,0.0280649621207981
"ACOD1",0,0,0,0,0,0,0,"Acod1",0.108795,0.012087,0,6,1,0,0.040294,0.961266718831407
"ACOT1",2.580575,3.185492,1.979403,39,58,23,0,"Acot3",0.234426,0.160951,0.355095,14,12,8,0.250157333333333,0.799899319339006
"ACOT11",0.582734,0.576701,0.609753,40,51,26,0.104451666666667,"Acot11",31.291213,30.108627,23.60258,1932,2643,500,28.33414,0.0376507259686722
"ACOT12",0.331608,0.188218,0.467097,5,2,2,24.8123303333333,"Acot12",0.079966,0.252288,0,4,14,0,0.110751333333333,23.2386219657925
"ACOT13",4.473594,5.647834,5.032359,165,201,127,0,"Acot13",157.51678,116.485561,68.278891,489,681,163,114.093744,0.00868856955422356
"ACOT2",14.610747,12.124256,16.719956,110,123,100,2.16443566666667,"Acot2",1.850343,1.867143,1.207003,80,121,16,1.64149633333333,1.19797087231745
"ACOT4",0.210825,0.819407,0.499504,6,26,10,9.039828,"Acot4",3.018317,2.376966,0.237518,67,77,10,1.87760033333333,3.48895845044963
"ACOT6",0.113721,0.104565,0.160646,1,1,1,3.375098,"Acot6",2.021448,1.857693,1.602341,145,199,36,1.82716066666667,1.54752365211646
"ACOT7",141.034258,158.621084,147.569266,2164,2658,1722,98.3865763333333,"Acot7",204.185837,177.859959,182.811225,3634,5205,1369,188.285673666667,0.525061270660947
"ACOT8",15.109551,19.026084,18.961389,206,295,187,15.260072,"Acot8",6.812502,7.054797,4.571108,121,202,29,6.14613566666667,2.27536570231174
"ACOT9",19.733347,15.220957,15.831859,376,398,279,35.6773823333333,"Acot9",10.646338,8.355602,7.608419,333,370,83,8.87011966666667,3.71600178842816
"ACOX1",26.69153,36.454793,34.43575,665,715,462,26.745508,"Acox1",38.281042,36.979115,36.155443,2815,4071,907,37.1385333333333,0.727492789444796
"ACOX2",0,0.720589,0,0,2,0,57.9517596666667,"Acox2",0.478907,0.537406,1.920292,7,13,7,0.978868333333333,29.7906428000515
"ACOX3",9.956542,12.099373,8.284384,181,210,142,15.4454126666667,"Acox3",31.578703,26.301488,22.859586,995,1397,328,26.913259,0.589161325328105
"ACOXL",0.165362,0.317846,0.200234,4,5,4,0.798546666666667,"Acoxl",0.032761,0.021899,0,2,2,0,0.01822,1.76636352327264
"ACP1",61.586263,66.10944,74.714785,798,920,684,37.79657,"Acp1",43.469525,42.708891,37.818103,1062,1304,300,41.332173,0.916479529647581
"ACP2",115.861262,97.504509,108.715051,595,540,395,0.343451333333333,"Acp2",14.948313,13.40809,13.834404,1522,1780,427,14.0636023333333,0.0891852628345407
"ACP4",0.140216,0.12039,0.201053,2,2,2,3.97132866666667,"Acp4",0.091482,0.039542,0,3,2,0,0.0436746666666667,4.76329341455064
"ACP5",0.900021,1.872376,0.519606,4,9,1,0.278413,"Acp5",0.426923,0.534385,0.367158,5,8,3,0.442822,0.88605039291056
"ACP6",5.681603,4.537779,4.413437,128,125,95,0.136560666666667,"Acp6",12.775913,9.182779,11.204909,262,304,72,11.0545336666667,0.094284913717525
"ACP7",0.348403,0.256502,0.265236,13,11,7,64.0608963333333,"Acp7",1.356604,0.882333,1.43745,21,11,3,1.22546233333333,29.2347775825458
"ACR",0,0.561401,0,0,4,0,10.252389,"Acr",0.454999,0.859649,0.600143,13,15,5,0.638263666666667,6.86848474329834
"ACRBP",0.871936,1.387368,0.356541,8,10,2,3.504024,"Acrbp",5.73949,4.783652,6.789045,91,120,35,5.770729,0.665219948989245
"ACRV1",0.419432,0.594965,0.365907,5,9,3,10.3117143333333,"Acrv1",0.129637,0.107061,0.275087,9,11,6,0.170595,9.66321770837338
"ACSBG1",0.253329,0.789068,1.028992,21,18,25,40.2530823333333,"Acsbg1",108.813398,94.405486,84.872829,4262,5796,1577,96.030571,0.425155514475261
"ACSBG2",0.326791,0.354839,0.057953,2,2,1,76.3923933333333,"Acsbg2",0.019263,0,0,1,0,0,0.006421,76.8986272477754
"ACSF2",0.770281,0.767876,3.321446,2,5,7,1.372005,"Acsf2",24.630047,17.495217,16.328537,485,643,130,19.4846003333333,0.115794546215294
"ACSF3",15.821189,18.561092,20.415246,217,288,178,0.0650203333333333,"Acsf3",7.137229,5.689405,5.478674,331,399,80,6.10176933333333,0.149965492167492
"ACSL1",62.19037,73.44608,83.471369,894,1047,659,0.0770176666666667,"Acsl1",23.107288,34.423455,39.671238,803,1349,245,32.4006603333333,0.0322454004177822
"ACSL3",130.996535,121.985228,113.197501,2784,3004,2053,26.8095743333333,"Acsl3",141.226341,139.771625,112.269409,4160,6087,1311,131.089125,0.210536441462031
"ACSL4",61.049607,65.37075,77.690858,3385,3357,2270,14.52366,"Acsl4",21.479562,22.663303,21.725103,816,1113,182,21.9559893333333,0.676235721082986
"ACSL5",0.344508,0.341116,0.484939,7,4,5,5.10368066666667,"Acsl5",45.183423,27.652313,57.118124,754,770,207,43.3179533333333,0.137724786628985
